classified-sents,machine-code,handcode
"  ('of', 'O'),",FALSE,FALSE
"  ('2009', 'O'),",FALSE,FALSE
"  ('.', 'O')],",FALSE,FALSE
"('ICE', 'O'),",FALSE,FALSE
"  ('is', 'O'),",FALSE,FALSE
"  ('the', 'O'),",FALSE,FALSE
"  ('principal', 'O'),",FALSE,FALSE
"  ('investigative', 'O'),",FALSE,FALSE
"  ('arm', 'O'),",FALSE,FALSE
"  ('of', 'O'),",FALSE,FALSE
"  ('the', 'O'),",FALSE,FALSE
"  ('Department', 'ORGANIZATION'),",FALSE,FALSE
"  ('of', 'ORGANIZATION'),",FALSE,FALSE
"  ('Homeland', 'ORGANIZATION'),",FALSE,FALSE
"  ('Security', 'ORGANIZATION'),",FALSE,FALSE
"  ('and', 'O'),",FALSE,FALSE
"  ('the', 'O'),",FALSE,FALSE
"  ('second', 'O'),",FALSE,FALSE
"  ('largest', 'O'),",FALSE,FALSE
"  ('investigative', 'O'),",FALSE,FALSE
"  ('agency', 'O'),",FALSE,FALSE
"  ('in', 'O'),",FALSE,FALSE
"  ('the', 'O'),",FALSE,FALSE
"  ('federal', 'O'),",FALSE,FALSE
"  ('government', 'O'),",FALSE,FALSE
"  ('.', 'O')],",FALSE,FALSE
" [('Following', 'O'),",FALSE,FALSE
"  ('the', 'O'),",FALSE,FALSE
"  ('briefing', 'O'),",FALSE,FALSE
"  (',', 'O'),",FALSE,FALSE
"  ('weÍll', 'O'),",FALSE,FALSE
"  ('have', 'O'),",FALSE,FALSE
"  ('time', 'O'),",FALSE,FALSE
"  ('for', 'O'),",FALSE,FALSE
"  ('a', 'O'),",FALSE,FALSE
"  ('few', 'O'),",FALSE,FALSE
"  ('questions', 'O'),",FALSE,FALSE
"  (',', 'O'),",FALSE,FALSE
"  ('just', 'O'),",FALSE,FALSE
"  ('a', 'O'),",FALSE,FALSE
"  ('few', 'O'),",FALSE,FALSE
"  ('.', 'O')],",FALSE,FALSE
" [('For', 'O'),",FALSE,FALSE
"  ('those', 'O'),",FALSE,FALSE
"  ('with', 'O'),",FALSE,FALSE
"  ('me', 'O'),",FALSE,FALSE
"  ('here', 'O'),",FALSE,FALSE
"  (',', 'O'),",FALSE,FALSE
"  ('I', 'O'),",FALSE,FALSE
"  ('would', 'O'),",FALSE,FALSE
"  ('ask', 'O'),",FALSE,FALSE
"  ('you', 'O'),",FALSE,FALSE
"  ('to', 'O'),",FALSE,FALSE
"  ('wait', 'O'),",FALSE,FALSE
"  ('for', 'O'),",FALSE,FALSE
"  ('the', 'O'),",FALSE,FALSE
"  ('microphone', 'O'),",FALSE,FALSE
"  ('before', 'O'),",FALSE,FALSE
"  ('asking', 'O'),",FALSE,FALSE
"  ('your', 'O'),",FALSE,FALSE
"  ('question', 'O'),",FALSE,FALSE
"  ('and', 'O'),",FALSE,FALSE
"  ('identify', 'O'),",FALSE,FALSE
"  ('yourselves', 'O'),",FALSE,FALSE
"  ('as', 'O'),",FALSE,FALSE
"  ('well', 'O'),",FALSE,FALSE
"  ('as', 'O'),",FALSE,FALSE
"  ('your', 'O'),",FALSE,FALSE
"  ('outlet', 'O'),",FALSE,FALSE
"  ('before', 'O'),",FALSE,FALSE
"  ('you', 'O'),",FALSE,FALSE
"  ('ask', 'O'),",FALSE,FALSE
"  ('your', 'O'),",FALSE,FALSE
"  ('question', 'O'),",FALSE,FALSE
"  ('.', 'O')],",FALSE,FALSE
" [('And', 'O'),",FALSE,FALSE
"  ('weÍll', 'O'),",FALSE,FALSE
"  ('be', 'O'),",FALSE,FALSE
"  ('also', 'O'),",FALSE,FALSE
"  ('fielding', 'O'),",FALSE,FALSE
"  ('some', 'O'),",FALSE,FALSE
"  ('questions', 'O'),",FALSE,FALSE
"  ('potentially', 'O'),",FALSE,FALSE
"  ('from', 'O'),",FALSE,FALSE
"  ('New', 'LOCATION'),",FALSE,FALSE
"  ('York', 'LOCATION'),",FALSE,FALSE
"  (',', 'O'),",FALSE,FALSE
"  ('by', 'O'),",FALSE,FALSE
"  ('email', 'O'),",FALSE,FALSE
"  (',', 'O'),",FALSE,FALSE
"  ('as', 'O'),",FALSE,FALSE
"  ('well', 'O'),",FALSE,FALSE
"  ('as', 'O'),",FALSE,FALSE
"  ('overseas', 'O'),",FALSE,FALSE
"  ('.', 'O')],",FALSE,FALSE
" [('With', 'O'),",FALSE,FALSE
"  ('that', 'O'),",FALSE,FALSE
"  (',', 'O'),",FALSE,FALSE
"  ('I', 'O'),",FALSE,FALSE
"  ('will', 'O'),",FALSE,FALSE
"  ('turn', 'O'),",FALSE,FALSE
"  ('the', 'O'),",FALSE,FALSE
"  ('floor', 'O'),",FALSE,FALSE
"  ('to', 'O'),",FALSE,FALSE
"  ('Director', 'O'),",FALSE,TRUE
"  ('Morton', 'PERSON'),",TRUE,TRUE
"  ('.', 'O')],",FALSE,FALSE
" [('MR.', 'PERSON'),",TRUE,TRUE
"  ('MORTON', 'PERSON'),",TRUE,TRUE
"  (':', 'O'),",FALSE,FALSE
"  ('All', 'O'),",FALSE,FALSE
"  ('right', 'O'),",FALSE,FALSE
"  ('.', 'O')],",FALSE,FALSE
" [('Well', 'O'),",FALSE,FALSE
"  (',', 'O'),",FALSE,FALSE
"  ('good', 'O'),",FALSE,FALSE
"  ('day', 'O'),",FALSE,FALSE
"  ('and', 'O'),",FALSE,FALSE
"  ('welcome', 'O'),",FALSE,FALSE
"  ('.', 'O')]]",FALSE,FALSE
